Instrumento;Unidade Gestora;Aditivo;Tipo de Instrumento;CNPJ;Instituição;Órgão Responsável;Vinculação;Nº Modalidade;Nº Processo;Objeto;Data de Assinatura;Vigência;Valor Concedente;Valor Convenente;Valor Total;
 041/2024-PROCON/RJ;Prefeitura Municipal de Macaé;Instrumento Original;Acordo de Cooperação;14.025.815/0001-30;Autarquia de Proteção e Defesa do Consumidor do Estado do Rio de Janeiro ? PROCON/RJ.;SECRETARIA MUNICIPAL ADJUNTA DE DEFESA DO CONSUMIDOR - PROCON/MACAÉ ;Não se Aplica;; 11.350/2024;Municipalização do Sistema de Proteção e Defesa do Consumidor pelo PROCON-RJ, visando o estabelecimento de diretrizes, buscando de forma permanente e contínua a orientação técnica e legal, a uniformização e a padronização do atendimento ao consumidor  bem como o auxílio para implantação e uso do sistema de atendimento ProConsumidor, podendo, para tanto, serem realizados cursos e treinamentos para sua aplicação, registro, armazenamento e compartilhamento da base de dados municipal de demandas de consumo com as bases estadual e nacional, resultando, inclusive, na elaboração dos Cadastros Estadual e Nacional de Reclamações Fundamentadas, dentre outras ações que promovam políticas públicas integradas para a defesa do consumidor.;2024-10-02;36 (trinta e seis) meses, a contar da data de sua publicação.;R$ 0,00;R$ 0,00;R$ 0,00;
 s/nº 2023 ? SEAPPA;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;42.498.642/0001-02;Secretaria de Estado de Agricultura, Pecuária, Pesca e Abastecimento;GABINETE DO PREFEITO;Não se Aplica;; 29.863/2023;Cooperação entre os partícipes para a operacionalização das ações afetas à SEAPPA, objetivando a execução de intervenções para a manutenção, conservação e recuperação das estradas vicinais, de acordo com as demandas apresentadas pelo município.;2023-06-27;12 (doze) meses a contar da data da publicação;R$ 0,00;R$ 0,00;R$ 0,00;
 s/nº 2022;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Adesão;42.498.600/0001-71;Estado do Rio de Janeiro, por meio da Secretaria de Estado de Infraestrutura e Obras  SEINFRA;SECRETARIA MUNICIPAL ADJUNTA DO GABINETE DO PREFEITO;Não se Aplica;; 5497/2022;Estabelecimento de parceria entre o Estado e o Município destinado a produção de unidades habitacionais no âmbito do Programa ?Casa da Gente?.;2022-02-22;Prazo de vigência vinculado à permanência do Programa "CASA DA GENTE".;R$ 0,00;R$ 0,00;R$ 0,00;
 s/nº 2018;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;33.000.167/1007-50|33.000.167/1055-58;Petroleo Brasileiro - PETROBRAS / S.A|Petroleo Brasileiro - PETROBRAS / S.A;GABINETE DO PREFEITO;Não se Aplica;;;À retenção e o recolhimento do Imposto Sobre Serviços de Qualquer Natureza (ISSQN) pelos estabelecimentos da PETROBRAS e respectivas inscrições municipais, situados no Município de Macaé, identificados pela raiz de CNPJ sob os números 33.000.167, inclusive filiais constituídas para representação das operações da empresa por meio de consórcio, bem como para demais empresas do sistema Petrobras.;2018-04-02;24 (vinte quatro) meses, a partir de 02/04/2018;R$ 0,00;R$ 0,00;R$ 0,00;
 S/Nº 08 DE ABRIL 2022;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Adesão;03.567.964/0001-04;Instituto de Previdência dos Servidores do Município de Macaé - MACAEPREV;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO MUNICÍPIO DE MACAÉ ? MACAEPREV;Não se Aplica;; 310647/2021;Adesão ao Sistema de Compensação Previdenciária - COMPREV, disponibilizado pela secretaria Especial de Previdência e Trabalho - SEPRT do Ministério da Economia.;2022-04-08;5 ANOS;R$ 0,00;R$ 0,00;R$ 0,00;
 s/n.º 2020;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;42.498.659/0001-60;Secretaria de Estado de Educação do Rio de Janeiro;SECRETARIA MUNICIPAL DE EDUCAÇÃO;Não se Aplica;; 9621/2019;A conclusão da obra de estrutura física e instalações prediais do Colégio Estadual Carlos Walter Marinho Campos, situada no bairro Lagomar no Município de Macaé/RJ, visando o compartilhamento de uso, pelo Estado do Rio de Janeiro e pelo Município de Macaé, devidamente representados por suas respectivas Secretarias de Educação, para atendimento educacional à população.;2020-03-13;05 (cinco) anos, a contar data de sua assinatura.;R$ 0,00;R$ 0,00;R$ 0,00;
 s/n.º 2019;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;09.280.442/0001-03;Junta Comercial do Estado do Rio de Janeiro - JUCERJA/REGIN;SECRETARIA MUNICIPAL ADJUNTA DO GABINETE DO PREFEITO;Não se Aplica;; 44279/2019;A colaboração entre os convenentes para a interligação dos sistemas de informática entre a JUCERJA e o Município, mediante implantação do Projeto denominado REGIN, visando à consecução dos meios de acesso a pesquisa mútuas interligadas entre a base de dados da JUCERJA e do Município, com o objetivo de gerar as informações necessárias a viabilizar o registro empresarial na JUCERJA e ainda a emissão do número de inscrição do CNPJ, emissão do número de Inscrição Estadual, emissão do alvará de funcionamento pelo Município, a emissão do alvará de bombeiro e a emissão de alvarás da vigilância sanitária e dos órgãos de meio ambiente.;2019-10-16;05 (cinco) anos, a contar data da sua publicação no DOERJ.;R$ 0,00;R$ 0,00;R$ 0,00;
 s/n.º 2019;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Adesão;09.280.442/0001-03;Junta Comercial do Estado do Rio de Janeiro - JUCERJA/COGIRE;SECRETARIA MUNICIPAL ADJUNTA DO GABINETE DO PREFEITO;Não se Aplica;; 35477/2019;A adesão do município à Redesim (Rede Nacional para a Simplificação do Registro e da Legalização de Empresas e Negócios), visando à implementação do Alvará Eletrônico Automatizado, sob a iniciativa da Junta Comercial do Estado do Rio de Janeiro - JUCERJA.;2019-10-16;Indeterminado.;R$ 0,00;R$ 0,00;R$ 0,00;
 s/n.º;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;32.690.668/0001-02;Secretaria de Estado de Polícia Militar - SEPM;SECRETARIA MUNICIPAL DE ORDEM PÚBLICA;Não se Aplica; s/nº/2025-SEPM; SEI 001827/2025  e SEI-350001/007893/2025;Fortalecer as ações de segurança pública e aprimorar o atendimento das demandas da população no âmbito da segurança no município de Macaé.;2025-09-09;24 (vinte e quatro) meses;R$ 0,00;R$ 0,00;R$ 0,00;
 S/N de 31 de janeiro 2014;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Adesão;;União;SECRETARIA MUNICIPAL ADJUNTA DO GABINETE DO PREFEITO;Não se Aplica;;;Estabelecer parceria com o MUNICÍPIO, objetivando a execução do Programa MINHA CASA, MINHA VIDA.;2014-01-31;indeterminado;R$ 0,00;R$ 0,00;R$ 0,00;
